KO-01	1,5	куковка	27.10.2024 12:00:00
KO-02	3	куковка	27.10.2024 12:18:00
KO-03	4,5	куковка	27.10.2024 12:36:00
KO-04	6	куковка	27.10.2024 12:54:00
KO-05	7,5	куковка	27.10.2024 13:12:00
KO-06	9	куковка	27.10.2024 13:30:00
KO-07	10,5	куковка	27.10.2024 13:48:00
KO-08	12	куковка	27.10.2024 14:06:00
KO-09	13,5	куковка	27.10.2024 14:24:00
KO-10	15	куковка	27.10.2024 14:42:00
GO-01	2	голиковка	27.10.2024 16:00:00
GO-02	4	голиковка	27.10.2024 16:18:00
GO-03	6	голиковка	27.10.2024 16:36:00
GO-04	8	голиковка	27.10.2024 16:54:00
GO-05	10	голиковка	27.10.2024 17:12:00
GO-06	12	голиковка	27.10.2024 17:30:00
GO-07	14	голиковка	27.10.2024 17:48:00
GO-08	16	голиковка	27.10.2024 18:06:00
GO-09	18	голиковка	27.10.2024 18:24:00
GO-10	20	голиковка	27.10.2024 18:42:00
